event_id;event_name;domain;trigger;description_de;payload_schema;required_fields;example_payload;privacy_level;owner;version;priority;notes;inferred;category;sampling;consumers;impact;effort;risk;priority_score;exists
cbbd11c6322d;alert_create;alert;ui.submit;Preis-Alert erstellen;"{""type"": ""object"", ""properties"": {""userId"": {""type"": ""string""}, ""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""condition"": {""type"": ""string""}, ""threshold"": {""type"": ""string""}, ""notifyVia"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""userId"", ""sessionId"", ""symbol"", ""ts""]}";"[""userId"", ""sessionId"", ""symbol"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""condition"": ""price_above"", ""threshold"": 50000, ""notifyVia"": ""push"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";pii;alerts;1.0.0;A;Server dedupe by userId+symbol+condition;false;alerts;none;alerts service, notification scheduler, analytics;5;1;3;6;yes
4f7b1eeea4a1;error.occurred;system;error;Fehler ist aufgetreten;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""errorType"": {""type"": ""string""}, ""message"": {""type"": ""string""}, ""stack"": {""type"": ""string"", ""nullable"": true}, ""context"": {""type"": ""object""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""errorType"", ""message"", ""ts""]}";"[""sessionId"", ""errorType"", ""message"", ""ts""]";{};sensitive;engineering;1.0.0;A;From useEventLogger - critical for debugging;true;system;none;analytics;4;2;1;5;inferred
304f6928dd1c;push.permission_request;push;ui.click;Push-Benachrichtigungsberechtigung angefordert;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""result"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";{};public;notifications;1.0.0;A;Critical for notification opt-in tracking;true;push;none;analytics;4;2;1;5;inferred
ef1d3b8243e9;replay_export_start;replay;ui.interaction;Clip-Export starten;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""from"": {""type"": ""string"", ""format"": ""date-time""}, ""to"": {""type"": ""string"", ""format"": ""date-time""}, ""format"": {""type"": ""string""}, ""userId"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""userId"", ""ts""]}";"[""sessionId"", ""userId"", ""ts""]";"{""sessionId"": ""replay_789"", ""from"": ""2025-11-09T10:00:00Z"", ""to"": ""2025-11-09T10:05:00Z"", ""format"": ""mp4"", ""userId"": ""user_123"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";pii;replay;1.0.0;A;"Jobs return jobId; gated access";false;replay;none;export service, analytics;5;1;5;4;yes
3d5f22d6cabf;replay_seek;replay;ui.seek;Zu Timestamp springen;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""tsTarget"": {""type"": ""string"", ""format"": ""date-time""}, ""userTs"": {""type"": ""string"", ""format"": ""date-time""}, ""scrubBy"": {""oneOf"": [{""type"": ""number""}, {""type"": ""null""}]}}, ""required"": [""sessionId""]}";"[""sessionId""]";"{""sessionId"": ""replay_789"", ""tsTarget"": ""2025-11-09T10:00:00Z"", ""userTs"": ""2025-11-09T19:36:13.491220Z"", ""scrubBy"": 120}";sensitive;replay;1.0.0;A;High-frequency — heavily sampled;false;replay;sampled (1%);analytics, replay indexing;5;1;3;6;yes
5fa45de15b47;replay_session_load;replay;ui.click;Replay-Session laden;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""sessionOwner"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""replay_789"", ""sessionOwner"": ""user_123"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";sensitive;replay;1.0.0;A;"Authenticate access; 404 if missing";false;replay;none;replay service, storage, analytics;5;1;3;6;yes
59a72e8e4011;screen_view;navigation;ui.view;Bildschirm/Seite wurde angezeigt;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""screen_name"": {""type"": ""string""}, ""path"": {""type"": ""string""}, ""referrer"": {""type"": ""string"", ""nullable"": true}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""screen_name"", ""ts""]}";"[""sessionId"", ""screen_name"", ""ts""]";{};public;unassigned;1.0.0;A;Core navigation event - missing from catalog;true;navigation;none;analytics;4;2;1;5;inferred
f61b3b2b253a;session.end;session;system;Session beendet;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""duration"": {""type"": ""integer""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";{};public;analytics;1.0.0;A;From useEventLogger - session completion tracking;true;session;none;analytics;4;2;1;5;inferred
ee8f37c78b68;session.start;session;system;Neue Session gestartet;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""userAgent"": {""type"": ""string""}, ""viewport"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";{};public;analytics;1.0.0;A;From useEventLogger - foundational session tracking;true;session;none;analytics;4;2;1;5;inferred
a8518ac9ab3e;ui_snapshot_create;ui;ui.interaction;Snapshot speichern;"{""type"": ""object"", ""properties"": {""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""sessionId"": {""type"": ""string""}, ""snapId"": {""type"": ""string""}, ""symbol"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""title"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""annotations"": {""oneOf"": [{""type"": ""object""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""snapId"": ""snap_001"", ""symbol"": ""BTCUSDT"", ""title"": ""FOMO Buy"", ""annotations"": {""note"": ""too early""}, ""ts"": ""2025-11-09T19:36:13.491220Z""}";pii;journal;1.0.0;A;"Optimistic UI; server persists with unique snapId";false;snapshot;none;journal, signals feed, analytics;5;1;5;4;yes
aaefd8868bb7;user.signup;user;ui.submit;Benutzer hat sich registriert;"{""type"": ""object"", ""properties"": {""userId"": {""type"": ""string""}, ""method"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""userId"", ""method"", ""ts""]}";"[""userId"", ""method"", ""ts""]";{};pii;auth;1.0.0;A;Critical user lifecycle event;true;user;none;analytics;4;2;1;5;inferred
aa2f0b575a67;wallet.connect;wallet;api.call;Wallet wurde verbunden;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""walletType"": {""type"": ""string""}, ""address"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""walletType"", ""ts""]}";"[""sessionId"", ""walletType"", ""ts""]";{};pseudonymous;wallet;1.0.0;A;From codebase analysis - wallet flow;true;wallet;none;analytics;4;2;1;5;inferred
6e2f3751bc27;watchlist_add;watchlist;ui.click;Symbol zur Watchlist hinzufügen;"{""type"": ""object"", ""properties"": {""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""source"": {""type"": ""string""}, ""position"": {""oneOf"": [{""type"": ""integer""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""symbol"", ""ts""]}";"[""sessionId"", ""symbol"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""source"": ""dashboard"", ""position"": 3, ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;A;Idempotency: dedupe by userId+symbol+tsWindow;false;watchlist;none;watchlist service, analytics, UI store;5;1;1;8;yes
cc71771d46e9;watchlist_bulk_remove;watchlist;ui.interaction;Mehrere Symbole entfernen;"{""type"": ""object"", ""properties"": {""userId"": {""type"": ""string""}, ""sessionId"": {""type"": ""string""}, ""symbols"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""count"": {""type"": ""integer""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""userId"", ""sessionId"", ""ts""]}";"[""userId"", ""sessionId"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""symbols"": [""BTCUSDT"", ""ETHUSDT""], ""count"": 2, ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;A;Operation keyed by batchId for idempotency;false;watchlist;none;watchlist service, analytics;5;1;1;8;yes
48f0fbf44034;watchlist_remove;watchlist;ui.interaction;Symbol entfernen;"{""type"": ""object"", ""properties"": {""userId"": {""type"": ""string""}, ""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""userId"", ""sessionId"", ""symbol"", ""ts""]}";"[""userId"", ""sessionId"", ""symbol"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;A;Server-side idempotency by userId+symbol;false;watchlist;none;watchlist service, analytics;5;1;1;8;yes
