path,category,rationale
PR_DESCRIPTION.md,B,Default concept
RISK_REGISTER.md,B,Default concept
tests/event-test-matrix.md,B,Default concept
tests/gpt-system-prompt.md,B,Default concept
tests/README.md,C,General guide
events/analyze-bullets-ai.md,B,Default concept
events/index.md,B,Default concept
events/teaser-vision-analysis.md,B,Default concept
events/journal-condense-ai.md,B,Default concept
docs/setup/environment-and-providers.md,D,Setup/operations reference
docs/setup/build-and-deploy.md,D,Setup/operations reference
docs/PR_RUN_SUMMARY.md,B,Default concept
docs/pwa-audit/03_core_flows.md,B,Default concept
docs/pwa-audit/02_feature_catalog.md,B,Concept & architecture
docs/pwa-audit/01_repo_index.md,B,Default concept
docs/pwa-audit/05_security_privacy.md,B,Default concept
docs/pwa-audit/07_future_concepts.md,B,Concept & architecture
docs/pwa-audit/04_offline_sync_model.md,B,Default concept
docs/pwa-audit/06_tests_observability_gaps.md,B,Default concept
docs/concepts/journal-system.md,B,Default concept
docs/concepts/signal-orchestrator.md,B,Default concept
docs/concepts/ai-roadmap.md,A,Process / planning doc
docs/lore/nft-meme-collection-concept.md,B,Concept & architecture
docs/lore/x-timeline-posts.md,B,Default concept
docs/lore/hero-journey-full.md,B,Default concept
docs/lore/community-posts-templates.md,B,Default concept
docs/lore/degens-creed.md,B,Default concept
docs/lore/onboarding-dialogs.md,B,Default concept
docs/lore/three-pillars.md,B,Default concept
docs/guides/access-tabs.md,B,Default concept
docs/process/product-overview.md,B,Concept & architecture
docs/process/onboarding-blueprint.md,B,Default concept
docs/archive/BUILD_NOTES.md,D,Setup/operations reference
docs/archive/TABS_ORDER.md,B,Default concept
docs/archive/REPOSITORY_ANALYSE_2025-11-07.md,B,Default concept
docs/archive/raw/2025-11-12/ONBOARDING_IMPLEMENTATION_COMPLETE.md,B,Default concept
docs/archive/raw/2025-11-12/DEXPAPRIKA_MORALIS_CHECKLIST.md,C,Actionable guide
docs/archive/raw/2025-11-12/PROJEKT_ÜBERSICHT.md,B,Default concept
docs/archive/raw/2025-11-12/SETUP_DEXPAPRIKA_MORALIS.md,D,Setup/operations reference
docs/archive/raw/2025-11-12/DEPLOY_CHECKLIST.md,D,Setup/operations reference
docs/archive/raw/2025-11-12/BUILD_SCRIPTS_EXPLAINED.md,D,Setup/operations reference
